algorithm,text_1,text_2,text_1_size,text_2_size,time,space
memo,gift_of_the_magi,raven,10,10,85583,2875392
dp,gift_of_the_magi,raven,10,10,32827,2813952
dpopt,gift_of_the_magi,raven,10,10,21849,2813952
memo,gift_of_the_magi,raven,10,20,122393,2875392
dp,gift_of_the_magi,raven,10,20,31965,2813952
dpopt,gift_of_the_magi,raven,10,20,29130,2813952
memo,gift_of_the_magi,raven,10,30,216917,2875392
dp,gift_of_the_magi,raven,10,30,40161,2813952
dpopt,gift_of_the_magi,raven,10,30,36003,2813952
memo,gift_of_the_magi,raven,10,40,189809,2875392
dp,gift_of_the_magi,raven,10,40,40041,2813952
dpopt,gift_of_the_magi,raven,10,40,35873,2813952
memo,gift_of_the_magi,raven,10,50,263906,2875392
dp,gift_of_the_magi,raven,10,50,38708,2813952
dpopt,gift_of_the_magi,raven,10,50,43848,2813952
memo,gift_of_the_magi,raven,10,60,251829,2875392
dp,gift_of_the_magi,raven,10,60,47596,2813952
dpopt,gift_of_the_magi,raven,10,60,33857,2813952
memo,gift_of_the_magi,raven,10,70,383888,2875392
dp,gift_of_the_magi,raven,10,70,38972,2813952
dpopt,gift_of_the_magi,raven,10,70,39840,2813952
memo,gift_of_the_magi,raven,10,80,427746,2875392
dp,gift_of_the_magi,raven,10,80,43508,2813952
dpopt,gift_of_the_magi,raven,10,80,43331,2813952
memo,gift_of_the_magi,raven,10,90,407185,2875392
dp,gift_of_the_magi,raven,10,90,52653,2813952
dpopt,gift_of_the_magi,raven,10,90,42297,2813952
memo,gift_of_the_magi,raven,10,100,458457,3006464
dp,gift_of_the_magi,raven,10,100,60964,2813952
dpopt,gift_of_the_magi,raven,10,100,44263,2813952
memo,gift_of_the_magi,raven,10,110,554400,2875392
dp,gift_of_the_magi,raven,10,110,62760,2813952
dpopt,gift_of_the_magi,raven,10,110,48353,2813952
memo,gift_of_the_magi,raven,10,120,541708,2875392
dp,gift_of_the_magi,raven,10,120,208996,2813952
dpopt,gift_of_the_magi,raven,10,120,56451,2813952
memo,gift_of_the_magi,raven,10,130,502814,2875392
dp,gift_of_the_magi,raven,10,130,50851,2813952
dpopt,gift_of_the_magi,raven,10,130,48546,2813952
memo,gift_of_the_magi,raven,10,140,553232,2940928
dp,gift_of_the_magi,raven,10,140,66510,2813952
dpopt,gift_of_the_magi,raven,10,140,50416,2813952
memo,gift_of_the_magi,raven,10,150,570808,2940928
dp,gift_of_the_magi,raven,10,150,63659,2813952
dpopt,gift_of_the_magi,raven,10,150,51824,2813952
memo,gift_of_the_magi,raven,10,160,624388,3072000
dp,gift_of_the_magi,raven,10,160,66755,2813952
dpopt,gift_of_the_magi,raven,10,160,61880,2813952
memo,gift_of_the_magi,raven,10,170,689415,3072000
dp,gift_of_the_magi,raven,10,170,91345,2813952
dpopt,gift_of_the_magi,raven,10,170,60399,2813952
memo,gift_of_the_magi,raven,10,180,759363,3072000
dp,gift_of_the_magi,raven,10,180,67667,2813952
dpopt,gift_of_the_magi,raven,10,180,56285,2813952
memo,gift_of_the_magi,raven,10,190,912479,3072000
dp,gift_of_the_magi,raven,10,190,72144,2813952
dpopt,gift_of_the_magi,raven,10,190,59017,2813952
memo,gift_of_the_magi,raven,10,200,796889,3072000
dp,gift_of_the_magi,raven,10,200,74299,2813952
dpopt,gift_of_the_magi,raven,10,200,145876,2813952
memo,gift_of_the_magi,raven,10,210,859424,3072000
dp,gift_of_the_magi,raven,10,210,86057,2813952
dpopt,gift_of_the_magi,raven,10,210,63677,2813952
memo,gift_of_the_magi,raven,10,220,832814,3072000
dp,gift_of_the_magi,raven,10,220,80752,2813952
dpopt,gift_of_the_magi,raven,10,220,65021,2813952
memo,gift_of_the_magi,raven,10,230,828167,3203072
dp,gift_of_the_magi,raven,10,230,123852,2813952
dpopt,gift_of_the_magi,raven,10,230,71604,2813952
memo,gift_of_the_magi,raven,10,240,933925,3203072
dp,gift_of_the_magi,raven,10,240,91592,2813952
dpopt,gift_of_the_magi,raven,10,240,90110,2813952
memo,gift_of_the_magi,raven,10,250,934789,3203072
dp,gift_of_the_magi,raven,10,250,86005,2813952
dpopt,gift_of_the_magi,raven,10,250,69344,2813952
memo,gift_of_the_magi,raven,10,260,1027010,3203072
dp,gift_of_the_magi,raven,10,260,95095,2813952
dpopt,gift_of_the_magi,raven,10,260,73549,2813952
memo,gift_of_the_magi,raven,10,270,1082768,3203072
dp,gift_of_the_magi,raven,10,270,96044,2813952
dpopt,gift_of_the_magi,raven,10,270,74586,2813952
memo,gift_of_the_magi,raven,10,280,1108693,3203072
dp,gift_of_the_magi,raven,10,280,98066,2813952
dpopt,gift_of_the_magi,raven,10,280,75309,2813952
memo,gift_of_the_magi,raven,10,290,1149932,3203072
dp,gift_of_the_magi,raven,10,290,101400,2813952
dpopt,gift_of_the_magi,raven,10,290,78243,2813952
memo,gift_of_the_magi,raven,10,300,1196210,3203072
dp,gift_of_the_magi,raven,10,300,112151,2813952
dpopt,gift_of_the_magi,raven,10,300,85291,2813952
memo,gift_of_the_magi,raven,20,10,150461,2875392
dp,gift_of_the_magi,raven,20,10,44713,2813952
dpopt,gift_of_the_magi,raven,20,10,35668,2813952
memo,gift_of_the_magi,raven,20,20,237015,2875392
dp,gift_of_the_magi,raven,20,20,36734,2813952
dpopt,gift_of_the_magi,raven,20,20,73298,2813952
memo,gift_of_the_magi,raven,20,30,308081,2875392
dp,gift_of_the_magi,raven,20,30,53675,2813952
dpopt,gift_of_the_magi,raven,20,30,55247,2813952
